CustomerKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,email,AnnualIncome,TotalChildren,EducationLevel,Occupation
11032,Denise,,Stone,08-12-1952,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual
11033,Jaime,,Nath,19-09-1958,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual
11034,Ebony,,Gonzalez,16-12-1952,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual
11035,Wendy,,Dominguez,23-08-1953,M,F,wendy12@adventure-works.com,10000,2,Partial High School,Clerical
11036,Jennifer,C,Russell,16-06-1984,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual
11037,Chloe,M,Garcia,27-05-1983,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical
11038,Diana,F,Hernandez,20-09-1953,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical
11039,Marc,J,Martin,16-06-1954,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical
11040,Jesse,,Murphy,29-01-1983,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual
11041,Amanda,M,Carter,15-04-1983,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual
11042,Megan,J,Sanchez,11-12-1982,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual
11043,Nathan,M,Simmons,23-08-1981,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual
11044,Adam,L,Flores,21-11-1954,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical
11045,Leonard,G,Nara,16-11-1955,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual
11046,Christine,,Yuan,19-09-1955,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual
11047,Jaclyn,D,Lu,27-08-1955,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual
11048,Jeremy,,Powell,21-05-1956,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual
11049,Carol,C,Rai,15-01-1986,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical
11050,Alan,,Zheng,06-03-1957,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual
11051,Daniel,,Johnson,31-01-1957,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual
11052,Heidi,,Lopez,03-02-1957,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical
11053,Ana,E,Price,17-02-1986,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual
11054,Deanna,,Munoz,07-09-1957,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual
11055,Gilbert,,Raje,02-09-1957,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual
11056,Michele,L,Nath,01-10-1958,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual
11057,Carl,J,Andersen,07-04-1970,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management
11058,Marc,,Diaz,23-04-1965,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual
11059,Ashlee,J,Andersen,29-09-1959,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual
11060,Jon,L,Zhou,14-09-1959,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual
11061,Todd,M,Gao,20-02-1976,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual
11062,Noah,D,Powell,01-03-1981,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual
11063,Angela,,Murphy,04-10-1980,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual
11064,Chase,,Reed,05-06-1981,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual
11065,Jessica,,Henderson,08-04-1979,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual
11066,Grace,T,Butler,27-05-1979,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional
11067,Caleb,F,Carter,25-03-1982,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional
11068,Tiffany,,Liang,19-09-1966,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual
11069,Carolyn,,Navarro,17-09-1966,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual
11070,Willie,T,Raji,02-10-1960,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual
11071,Linda,,Serrano,23-12-1960,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual
11072,Casey,,Luo,05-08-1960,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual
11073,Amy,,Ye,11-02-1962,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual
11074,Levi,A,Arun,25-02-1962,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual
11075,Felicia,L,Jimenez,16-05-1963,S,F,felicia4@adventure-works.com,80000,2,High School,Professional
11076,Blake,,Anderson,10-01-1963,S,M,blake9@adventure-works.com,80000,2,High School,Professional
11077,Leah,,Ye,19-03-1963,S,F,leah7@adventure-works.com,80000,2,High School,Professional
11078,Gina,E,Martin,06-01-1985,S,F,gina1@adventure-works.com,40000,0,High School,Professional
11079,Donald,,Gonzalez,07-03-1970,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management
11080,Damien,,Chander,13-01-1965,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management
11081,Savannah,C,Baker,21-01-1972,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management
11082,Angela,L,Butler,01-02-1972,S,F,angela17@adventure-works.com,130000,0,Graduate Degree,Management
11083,Alyssa,F,Cox,11-03-1977,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management
11084,Lucas,,Phillips,12-03-1963,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual
11085,Emily,,Johnson,16-01-1963,S,F,emily1@adventure-works.com,60000,2,High School,Professional
11086,Ryan,,Brown,22-06-1963,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional
11087,Tamara,L,Liang,02-04-1963,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional
11088,Hunter,,Davis,25-05-1963,M,M,hunter64@adventure-works.com,80000,2,Bachelors,Management
11089,Abigail,M,Price,05-08-1962,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management
11090,Trevor,,Bryant,13-12-1968,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional
11091,Dalton,,Perez,02-10-1962,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional
11092,Cheryl,A,Diaz,02-11-1972,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional
11093,Aimee,A,He,06-09-1978,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management
11094,Cedric,W,Ma,29-09-1967,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual
11095,Chad,,Kumar,29-02-1968,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual
11096,Andrés,,Anand,07-02-1968,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional
11097,Edwin,R,Nara,23-10-1972,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual
11098,Mallory,S,Rubio,29-10-1966,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual
11099,Adam,,Ross,05-09-1966,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional
11100,Latasha,L,Navarro,15-03-1966,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual
11101,Abby,L,Sai,05-11-1970,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional
11102,Julia,L,Nelson,19-10-1970,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional
11103,Cassie,,Chande,12-04-1981,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional
11104,Edgar,A,Sara,08-03-1975,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional
11105,Candace,,Fernandez,27-06-1970,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional
11106,Jessie,,Liu,11-03-1970,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional
11107,Bianca,,Lin,04-03-1976,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional
11108,Kari,C,Alvarez,10-01-1969,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional
11109,Ruben,D,Kapoor,30-04-1980,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional
11110,Curtis,,Yang,04-12-1967,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual
11111,Meredith,T,Gutierrez,23-08-1967,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual
11112,Crystal,C,Wang,08-03-1968,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual
11113,Micheal,A,Blanco,17-02-1973,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional
11114,Leslie,C,Moreno,25-11-1967,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual
11115,Alvin,D,Cai,12-08-1967,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual
11116,Clinton,E,Carlson,02-04-1979,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual
11117,April,,Deng,21-08-1966,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual
11118,Alvin,M,Zeng,31-12-1962,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual
11119,Evan,V,James,07-10-1940,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical
11120,Beth,H,Jiménez,06-02-1942,S,F,beth8@adventure-works.com,40000,2,Bachelors,Management
11121,Orlando,,Suarez,18-05-1966,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual
11122,Byron,,Vazquez,30-09-1965,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual
11123,Philip,A,Alvarez,18-12-1965,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual
11124,Ross,F,Jordan,23-07-1968,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual
11125,Dana,J,Navarro,06-10-1961,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual
11126,Shaun,,Carson,05-10-1954,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual
11127,Jan,,Edwards,19-04-1981,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual
11128,Samantha,,Long,03-06-1981,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual
11129,Julia,M,Wright,01-02-1981,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual
11130,Caroline,L,Russell,05-07-1985,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual
11131,Amanda,,Rivera,09-09-1985,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual
11132,Melissa,E,Richardson,25-04-1986,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual
11133,Angela,,Griffin,08-03-1986,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical
11134,Larry,D,Townsend,22-02-1957,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual
11135,Marcus,L,Harris,02-05-1985,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical
11136,Brianna,D,Morgan,24-04-1984,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual
11137,Jasmine,A,Taylor,17-01-1984,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual
11138,Lauren,,Davis,14-03-1984,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual
11139,Tanya,,Moreno,05-11-1949,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical
11140,Javier,L,Alvarez,11-08-1982,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical
11141,Nicole,,Ramirez,19-12-1982,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual
11142,Eduardo,,Patterson,11-02-1983,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual
11143,Jonathan,M,Henderson,04-08-1982,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual
11144,Edward,,Hernandez,08-03-1985,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual
11145,Jasmine,L,Coleman,06-06-1985,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual
11146,Karla,L,Goel,22-02-1945,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management
11147,Ernest,L,Wu,04-08-1944,M,M,ernest6@adventure-works.com,60000,2,Graduate Degree,Management
11148,Ross,,Vazquez,13-02-1947,M,M,ross32@adventure-works.com,40000,2,Bachelors,Management
11149,Theodore,,Gill,18-10-1946,M,M,theodore14@adventure-works.com,40000,2,Bachelors,Management
11150,Russell,M,Shen,12-09-1946,S,M,russell6@adventure-works.com,40000,2,Bachelors,Management
11151,Melinda,G,Gill,25-08-1947,S,F,melinda9@adventure-works.com,60000,2,Graduate Degree,Management
11152,James,J,Williams,09-07-1981,S,M,james77@adventure-works.com,40000,0,High School,Skilled Manual
11153,Angela,R,James,21-12-1981,M,F,angela34@adventure-works.com,40000,0,High School,Skilled Manual
11154,Megan,G,Walker,18-02-1982,S,F,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual
11155,Hunter,J,Robinson,25-07-1981,S,M,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual
11156,Maria,,Roberts,06-08-1981,S,F,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual
11157,Hannah,E,Long,08-12-1980,M,F,hannah32@adventure-works.com,40000,0,High School,Skilled Manual
11158,Jason,K,Wright,06-04-1981,S,M,jason46@adventure-works.com,40000,0,High School,Skilled Manual
11159,Brianna,A,Hughes,16-03-1981,S,F,brianna57@adventure-works.com,40000,0,High School,Skilled Manual
11160,Maurice,M,Tang,08-07-1979,S,M,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual
11161,Emily,,Wood,20-10-1979,S,F,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual
11162,Chase,,Cox,02-09-1979,S,M,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual
11163,Gabriel,,Wang,18-06-1980,M,M,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual
11164,Devin,,Brooks,02-11-1979,S,M,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual
11165,Jocelyn,,Alexander,15-01-1979,M,F,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual
11166,Ashley,,Martinez,22-10-1977,S,F,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual
11167,Jasmine,J,Barnes,29-01-1978,S,F,jasmine43@adventure-works.com,80000,0,Bachelors,Management
11168,David,,Rodriguez,12-11-1973,S,M,david83@adventure-works.com,80000,0,Bachelors,Management
11169,Bryce,,Richardson,20-12-1973,M,M,bryce8@adventure-works.com,90000,4,Bachelors,Management
11170,Carol,T,Howard,04-08-1973,M,F,carol5@adventure-works.com,90000,4,Bachelors,Management
11171,Jonathan,E,Hill,05-10-1978,S,M,jonathan43@adventure-works.com,100000,1,Bachelors,Management
11172,Gabrielle,J,Adams,20-05-1973,M,F,gabrielle58@adventure-works.com,100000,1,Bachelors,Management
11173,Sarah,F,Thomas,28-02-1973,S,F,sarah13@adventure-works.com,110000,0,Graduate Degree,Management
11174,Nicholas,,Robinson,09-01-1973,M,M,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management
11175,Luis,,Wang,01-09-1968,S,M,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual
11176,Mason,D,Roberts,21-01-1979,M,M,mason25@adventure-works.com,90000,4,Bachelors,Management
11177,Jose,M,Flores,01-01-1948,M,M,jose6@adventure-works.com,110000,2,Graduate Degree,Management
11178,Nathan,J,Johnson,20-08-1954,M,M,nathan55@adventure-works.com,100000,2,Graduate Degree,Management
11179,Molly,E,Rodriguez,08-12-1959,M,F,molly18@adventure-works.com,120000,2,Graduate Degree,Management
11180,April,,Anand,01-07-1948,M,F,april18@adventure-works.com,160000,1,Bachelors,Management
11181,Devin,P,Martin,01-02-1960,M,M,devin13@adventure-works.com,170000,2,Graduate Degree,Management
11182,Stephanie,,Torres,22-02-1950,S,F,stephanie19@adventure-works.com,70000,4,Bachelors,Management
11183,Jasmine,W,Lee,12-01-1950,S,F,jasmine19@adventure-works.com,70000,4,Bachelors,Management
11184,Meghan,,Hernandez,13-11-1955,S,F,meghan3@adventure-works.com,70000,4,Bachelors,Management
11185,Ashley,,Henderson,07-04-1950,S,F,ashley31@adventure-works.com,70000,4,Bachelors,Management
11186,Sarah,C,Price,18-11-1949,S,F,sarah25@adventure-works.com,70000,4,Bachelors,Management
11187,Jennifer,S,Cooper,21-08-1949,M,F,jennifer63@adventure-works.com,60000,4,Graduate Degree,Management
11188,Catherine,,Morris,06-03-1950,M,F,catherine16@adventure-works.com,60000,4,Graduate Degree,Management
11189,Lawrence,W,Blanco,12-01-1950,S,M,lawrence14@adventure-works.com,60000,4,Graduate Degree,Management
11190,Carson,,Bryant,20-12-1949,M,M,carson17@adventure-works.com,70000,5,Bachelors,Management
11191,Kristi,E,Perez,17-06-1951,S,F,kristi39@adventure-works.com,70000,5,Bachelors,Management
11192,James,C,Brown,13-03-1951,M,M,james79@adventure-works.com,60000,4,Bachelors,Management
11193,Ian,A,Gray,13-08-1950,M,M,ian72@adventure-works.com,60000,4,Bachelors,Management
11194,Jacqueline,R,Price,08-12-1950,M,F,jacqueline0@adventure-works.com,60000,4,Bachelors,Management
11195,Megan,,Henderson,10-08-1951,M,F,megan55@adventure-works.com,60000,5,Bachelors,Management
11196,Alfredo,,Romero,05-12-1951,M,M,alfredo10@adventure-works.com,60000,5,Bachelors,Management
11197,Andrea,,Morris,16-12-1951,M,F,andrea18@adventure-works.com,70000,3,Bachelors,Management
11198,Brooke,,Sanders,25-05-1952,S,F,brooke3@adventure-works.com,70000,4,Bachelors,Management
11199,Jacqueline,,Bennett,02-11-1957,M,F,jacqueline1@adventure-works.com,70000,4,Bachelors,Management
11200,Jason,L,Griffin,21-05-1953,M,M,jason18@adventure-works.com,70000,4,Bachelors,Management
11201,Amanda,,Foster,14-02-1953,M,F,amanda37@adventure-works.com,70000,4,Bachelors,Management
11202,Alexia,L,Price,22-08-1958,M,F,alexia0@adventure-works.com,80000,5,Bachelors,Management
11203,Luis,D,Diaz,18-08-1959,M,M,luis21@adventure-works.com,40000,2,High School,Professional
11204,Destiny,C,Rivera,29-11-1953,M,F,destiny33@adventure-works.com,40000,2,High School,Professional
11205,Abby,,Fernandez,21-01-1954,M,F,abby13@adventure-works.com,40000,2,High School,Professional
11206,Blake,,Flores,24-03-1954,M,M,blake60@adventure-works.com,60000,2,Partial College,Professional
11207,Danielle,,Cox,16-01-1954,S,F,danielle12@adventure-works.com,60000,2,Partial College,Professional
11208,Maria,,Reed,03-08-1953,M,F,maria4@adventure-works.com,60000,2,Bachelors,Management
11209,Allison,,Evans,12-07-1953,M,F,allison21@adventure-works.com,60000,2,Bachelors,Management
11210,Edward,J,Wood,06-12-1953,M,M,edward50@adventure-works.com,70000,4,Partial College,Professional
11211,Samantha,,Russell,08-10-1960,M,F,samantha42@adventure-works.com,40000,2,High School,Professional
11212,Chloe,,Campbell,05-05-1955,M,F,chloe4@adventure-works.com,40000,2,High School,Professional
11213,Stephanie,B,Murphy,11-11-1954,S,F,stephanie11@adventure-works.com,60000,2,Partial College,Professional
11214,Charles,O,Miller,07-05-1955,S,M,charles9@adventure-works.com,60000,2,Partial College,Professional
11215,Ana,,Perry,17-06-1961,M,F,ana7@adventure-works.com,40000,2,Partial High School,Skilled Manual
11216,Jasmine,A,Torres,17-11-1955,S,F,jasmine32@adventure-works.com,60000,2,Partial College,Professional
11217,Natalie,P,Adams,11-08-1955,S,F,natalie58@adventure-works.com,60000,2,Partial College,Professional
11218,Olivia,,Brown,07-09-1961,S,F,olivia4@adventure-works.com,60000,2,Partial College,Professional
11219,Charles,,Cook,31-05-1956,M,M,charles69@adventure-works.com,60000,2,High School,Professional
11220,Erica,C,Huang,19-02-1961,M,F,erica5@adventure-works.com,60000,2,Partial College,Professional
11221,Nathan,,Perry,08-12-1955,M,M,nathan3@adventure-works.com,70000,4,Partial College,Professional
11222,Alexandra,,Rivera,14-02-1956,M,F,alexandra11@adventure-works.com,80000,3,Bachelors,Management
11223,Hailey,I,Patterson,15-03-1957,S,F,hailey30@adventure-works.com,70000,2,High School,Professional
11224,Tiffany,J,Li,05-03-1957,S,F,tiffany3@adventure-works.com,70000,2,High School,Professional
11225,Madison,D,Lee,12-02-1962,M,F,madison22@adventure-works.com,60000,2,Partial College,Professional
11226,Sydney,T,Ross,23-09-1962,M,F,sydney26@adventure-works.com,60000,2,Partial College,Professional
11227,Marshall,D,Chavez,08-08-1962,S,M,marshall35@adventure-works.com,60000,2,Partial College,Professional
11228,Ashley,R,Jones,16-10-1956,M,F,ashley3@adventure-works.com,60000,2,Partial College,Professional
11229,Adrian,C,Stewart,01-06-1957,S,M,adrian21@adventure-works.com,70000,4,Partial College,Professional
11230,Amber,,Turner,30-09-1956,M,F,amber4@adventure-works.com,70000,4,Partial College,Professional
11231,Dennis,,Zhang,11-11-1963,M,M,dennis1@adventure-works.com,60000,2,High School,Professional
11232,Hailey,R,Bryant,27-03-1958,M,F,hailey38@adventure-works.com,60000,3,High School,Professional
11233,Todd,,Li,06-09-1963,M,M,todd5@adventure-works.com,70000,4,Partial College,Professional
11234,Anna,,Griffin,19-05-1958,S,F,anna46@adventure-works.com,70000,4,Partial College,Professional
11235,Angel,J,Stewart,07-08-1957,M,M,angel24@adventure-works.com,70000,4,Partial College,Professional
11236,Jeremy,,Butler,02-09-1957,S,M,jeremy29@adventure-works.com,70000,5,Partial College,Professional
11237,Clarence,M,Anand,22-03-1964,S,M,clarence36@adventure-works.com,130000,2,Bachelors,Management
11238,Mayra,,Prasad,07-02-1964,S,F,mayra9@adventure-works.com,130000,2,Bachelors,Management
11239,Latoya,C,Goel,02-10-1969,M,F,latoya18@adventure-works.com,130000,2,Partial College,Professional
11240,Anne,B,Hernandez,09-06-1964,M,F,anne4@adventure-works.com,160000,2,Partial College,Professional
11241,Lisa,,Cai,06-04-1974,S,F,lisa24@adventure-works.com,100000,2,Partial College,Professional
11242,Larry,,Munoz,11-05-1963,M,M,larry9@adventure-works.com,110000,2,Partial College,Professional
11243,Robin,V,Alvarez,08-04-1963,M,F,robin2@adventure-works.com,150000,2,Partial College,Professional
11244,Alexis,M,Coleman,22-11-1968,S,F,alexis28@adventure-works.com,170000,2,Bachelors,Management
11245,Ricky,D,Vazquez,26-04-1962,M,M,ricky15@adventure-works.com,120000,3,High School,Professional
11246,Latasha,,Rubio,08-04-1962,M,F,latasha21@adventure-works.com,120000,3,High School,Professional
11247,Claudia,M,Zhou,04-12-1961,S,F,claudia7@adventure-works.com,130000,3,Partial College,Professional
11248,Tristan,P,Alexander,22-03-1966,M,M,tristan19@adventure-works.com,110000,3,Partial College,Professional
11249,Cindy,A,Patel,09-07-1966,M,F,cindy3@adventure-works.com,130000,3,Partial College,Professional
11250,Shannon,D,Liu,08-03-1966,M,F,shannon4@adventure-works.com,170000,3,High School,Professional
11251,Xavier,,Long,01-01-1938,S,M,xavier51@adventure-works.com,30000,4,High School,Professional
11252,Nicholas,D,Thompson,05-12-1937,S,M,nicholas16@adventure-works.com,90000,3,Graduate Degree,Management
11253,José,M,Hernandez,24-08-1949,M,M,josé54@adventure-works.com,60000,2,Graduate Degree,Management
11254,Johnathan,W,Vance,31-08-1938,M,M,johnathan5@adventure-works.com,70000,4,Graduate Degree,Management
11255,Colin,,Lin,02-10-1938,M,M,colin8@adventure-works.com,70000,4,Graduate Degree,Management
11256,Katelyn,L,Hernandez,20-03-1939,M,F,katelyn42@adventure-works.com,70000,4,Graduate Degree,Management
11257,Jacqueline,,Powell,06-07-1938,S,F,jacqueline9@adventure-works.com,120000,1,Graduate Degree,Management
11258,Xavier,,Hill,26-12-1938,M,M,xavier26@adventure-works.com,120000,1,Graduate Degree,Management
11259,Victoria,C,Stewart,24-09-1970,M,F,victoria24@adventure-works.com,100000,4,Partial College,Professional
11260,Katelyn,L,Kelly,08-04-1976,M,F,katelyn1@adventure-works.com,110000,2,Bachelors,Management
